Name of the Journal,Website URL
"Journal of Food: Microbiology, Safety & Hygiene Open Access Journal",https://www.omicsonline.org/foodmicrobiology-safety-hygiene.php
Journal of Nutrition & Food Sciences Open Access Journal,https://www.omicsonline.org/nutrition-food-sciences.php
Journal of Nutrition and Dietetics ,https://www.omicsonline.org/journal-nutrition-dietetics.php
Journal of Nutrition Science Research Open Access Journal,https://www.omicsonline.org/nutrition-science-research.php
Journal of Probiotics & Health Open Access Journal,https://www.omicsonline.org/probiotics-health.php
Research & Reviews: Journal of Food and Dairy Technology Open Access Journal,http://www.rroij.com/food-and-dairy-technology.php
Vitamins & Minerals Open Access Journal,https://www.omicsonline.org/vitamins-minerals.php
Advances in Applied Science Research Open Access Journal,http://www.imedpub.com/advances-in-applied-science-research/
Annals of Biological Sciences ,http://www.imedpub.com/annals-of-biological-sciences/
Annals of Experimental Biology ,http://www.scholarsresearchlibrary.com/journals/annals-of-experimental-biology
Archives of Science ,https://www.omicsonline.org/archives-science.php
Biological Systems: Open Access Open Access Journal,https://www.omicsonline.org/biological-systems-open-access.php
BioTechnology: An Indian Journal ,http://www.tsijournals.com/journals/biotechnology-an-indian-journal.html
British Journal of Research ,http://www.imedpub.com/british-journal-of-research/
Electronic Journal of Biology Open Access Journal,http://ejbio.imedpub.com/
"Entomology, Ornithology & Herpetology: Current Research Open Access Journal",https://www.omicsonline.org/entomology-ornithology-herpetology.php
Environmental Science: An Indian Journal ,http://www.tsijournals.com/journals/environmental-science-an-indian-journal.html
European Journal of Experimental Biology ,http://www.imedpub.com/european-journal-of-experimental-biology/
Forest Research: Open Access Open Access Journal,https://www.omicsonline.org/forest-research-open-access.php
Global Journal of Research and Review ,http://www.imedpub.com/global-journal-of-research-and-review/
International Journal of Applied Science - Research and Review ,http://www.imedpub.com/applied-science-research-and-review/
Journal of Astrobiology & Outreach Open Access Journal,https://www.omicsonline.org/astrobiology-and-outreach.php
Journal of Biological and Medical Sciences ,https://www.omicsonline.org/biological-medicalsciences.php
Journal of Biomusical Engineering Open Access Journal,https://www.omicsonline.org/biomusical-engineering.php
Journal of Bioresearch Communications ,https://www.omicsonline.org/bioresearch-communications.php
"Journal of Biotechnology & Biomaterials Open Access Journal, Official Journal of Semi-Conductor Society, Society for Applied Biotechnology",https://www.omicsonline.org/biotechnology-biomaterials.php
Journal of Bioterrorism & Biodefense Open Access Journal,https://www.omicsonline.org/bioterrorism-biodefense.php
Journal of Ergonomics Open Access Journal,https://www.omicsonline.org/ergonomics.php
Journal of Forensic Biomechanics Open Access Journal,https://www.omicsonline.org/forensic-biomechanics.php
Journal of Forensic Research Open Access Journal,https://www.omicsonline.org/forensic-research.php
Journal of Global Research in Computer Science Open Access Journal,http://www.rroij.com/global-research-in-computer-science.php
Journal of Nutrition & Weight Loss Open Access Journal,https://www.omicsonline.org/nutrition-weight-loss.php
Journal of Physics Research and Applications ,https://www.scitechnol.com/journal-physics-research-applications.php
Journal of Research and Development Open Access Journal,https://www.omicsonline.org/journal-research-development.php
Journal of Yoga Practice and Therapy ,https://www.scitechnol.com/journal-yoga-practice-therapy.php
Research & Reviews in BioSciences ,http://www.tsijournals.com/journals/research-reviews-in-biosciences.html
Research & Reviews: Journal of Botanical Sciences Open Access Journal,http://www.rroij.com/botanical-sciences.php
Research & Reviews: Research Journal of Biology Open Access Journal,http://www.rroij.com/biology.php
Advancements in Genetic Engineering Open Access Journal,https://www.omicsonline.org/advancements-in-genetic-engineering.php
Advances in Molecular Diagnostics Open Access Journal,https://www.omicsonline.org/advances-molecular-diagnostics.php
Cell & Developmental Biology Open Access Journal,https://www.omicsonline.org/cell-developmental-biology.php
Cell Biology: Research & Therapy Hybrid Open Access Journal,https://www.scitechnol.com/cell-biology-research-therapy.php
Cellular & Molecular Medicine: Open Access Open Access Journal,http://cellular-molecular-medicine.imedpub.com/
Cellular and Molecular Biology Open Access Journal,https://www.omicsonline.org/cellular-and-molecular-biology.php
Cloning & Transgenesis Open Access Journal,https://www.omicsonline.org/cloning-transgenesis.php
Epigenetics Research: Open Access ,https://www.omicsonline.org/epigenetics-research-open-access.php
Fungal Genomics & Biology Open Access Journal,https://www.omicsonline.org/fungal-genomics-biology.php
Gene Technology Open Access Journal,https://www.omicsonline.org/gene-technology.php
Hereditary Genetics: Current Research Open Access Journal,https://www.omicsonline.org/hereditary-genetics.php
Human Genetics & Embryology Open Access Journal,https://www.omicsonline.org/human-genetics-embryology.php
Insights in Stem Cells Open Access Journal,http://stemcells.imedpub.com/
Journal of Aging Science Open Access Journal,https://www.omicsonline.org/aging-science.php
Journal of Cell Science & Therapy Open Access Journal,https://www.omicsonline.org/cell-science-therapy.php
Journal of Clinical & Medical Genomics Open Access Journal,https://www.omicsonline.org/clinical-and-medical-genomics.php
Journal of Clinical Developmental Biology Open Access Journal,http://clinical-developmental-biology.imedpub.com/
Journal of Clinical Epigenetics Open Access Journal,http://clinical-epigenetics.imedpub.com/
Journal of Cytology & Histology Open Access Journal,https://www.omicsonline.org/cytology-histology.php
Journal of Down Syndrome & Chromosome Abnormalities Open Access Journal,https://www.omicsonline.org/down-syndrome.php
"Journal of Fertilization: In Vitro - IVF-Worldwide, Reproductive Medicine, Genetics & Stem Cell Biology Open Access Journal",https://www.omicsonline.org/fertilization-in-vitro.php
Journal of Genetic Disorders & Genetic Reports Hybrid Open Access Journal,https://www.scitechnol.com/genetic-disorders-genetic-reports.php
"Journal of Genetic Syndromes & Gene Therapy  Open Access Journal, Official Journal of European Biotechnology Thematic Network Association",https://www.omicsonline.org/genetic-syndromes-gene-therapy.php
Journal of Genetics and DNA Research ,https://www.omicsonline.org/journal-genetics-dna-research.php
Journal of Genetics and Genomes ,https://www.omicsonline.org/journal-genetics-genomes.php
Journal of Molecular and Genetic Medicine Open Access Journal,https://www.omicsonline.org/molecular-genetic-medicine.php
Journal of Molecular Biology and Biotechnology ,http://www.imedpub.com/molecular-biology-and-biotechnology/
Journal of Molecular Biomarkers & Diagnosis Open Access Journal,https://www.omicsonline.org/molecular-biomarkers-diagnosis.php
Journal of Molecular Imaging & Dynamics Open Access Journal,https://www.omicsonline.org/molecular-imaging-dynamics.php
Journal of Plant Genetics and Breeding ,https://www.omicsonline.org/journal-plant-genetics-breeding.php
Journal of Stem Cell Research & Therapy Open Access Journal,https://www.omicsonline.org/stem-cell-research-therapy.php
Journal of Tissue Science & Engineering Open Access Journal,https://www.omicsonline.org/tissue-science-engineering.php
Molecular Biology: Open Access Open Access Journal,https://www.omicsonline.org/molecular-biology.php
Molecular Enzymology and Drug Targets Open Access Journal,http://www.medt.com.es/
Rare Disorders: Diagnosis & Therapy Open Access Journal,http://raredisorders.imedpub.com/
Single Cell Biology Open Access Journal,https://www.omicsonline.org/single-cell-biology.php
Geoinformatics & Geostatistics: An Overview Hybrid Open Access Journal,https://www.scitechnol.com/geoinformatics-geostatistics-an-overview.php
Journal of Coastal Zone Management Open Access Journal,https://www.omicsonline.org/coastal-development.php
Journal of Earth Science & Climatic Change Open Access Journal,https://www.omicsonline.org/earth-science-climatic-change.php
Journal of Geography & Natural Disasters Open Access Journal,https://www.omicsonline.org/geography-natural-disasters.php
Journal of Geology & Geophysics Open Access Journal,https://www.omicsonline.org/geology-geosciences.php
Journal of Hydrogeology & Hydrologic Engineering Hybrid Open Access Journal,https://www.scitechnol.com/hydrogeology-hydrologic-engineering.php
Journal of Marine Biology & Oceanography Hybrid Open Access,https://www.scitechnol.com/marine-biology-oceanography.php
Journal of Oceanography and Marine Research Open Access Journal,https://www.omicsonline.org/oceanography.php
Journal of Remote Sensing & GIS Open Access Journal,https://www.omicsonline.org/geophysics-remote-sensing.php
Oil & Gas Research Open Access Journal,https://www.omicsonline.org/oil-gas-research.php
Air & Water Borne Diseases Open Access Journal,https://www.omicsonline.org/air-water-borne-diseases.php
Applied Microbiology: Open Access Open Access Journal,https://www.omicsonline.org/applied-microbiology.php
Archives of Clinical Microbiology Open Access Journal,http://www.acmicrob.com/
Archives of Inflammation Open Access Journal,http://archives-inflammation.imedpub.com/
Archives of Parasitology Open Access Journal,https://www.omicsonline.org/archives-parasitology.php
Clinical Infectious Diseases: Open Access ,https://www.omicsonline.org/clinical-infectious-diseases.php
Clinical Microbiology: Open Access Open Access Journal,https://www.omicsonline.org/clinical-microbiology.php
"Fermentation Technology Open Access Journal, Official Journal of Italo-Latin American Society of Ethnomedicine",https://www.omicsonline.org/fermentation-technology.php
Fibromyalgia: Open Access Open Access Journal,https://www.omicsonline.org/fibromyalgia.php
HIV: Current Research Open Access Journal,https://www.omicsonline.org/hiv-current-research.php
Immunochemistry & Immunopathology Open Access Journal,https://www.omicsonline.org/immunochemistry-immunopathology.php
Immunogenetics: Open Access Open Access Journal,https://www.omicsonline.org/immunogenetics.php
Immunological Disorders & Immunotherapy Open Access Journal,https://www.omicsonline.org/immunological-disorders-immunotherapy.php
Immunology: Current Research ,https://www.omicsonline.org/immunology-current-research.php
Immunome Research Open Access Journal,https://www.omicsonline.org/immunome-research.php
Immunotherapy: Open Access Open Access Journal,https://www.omicsonline.org/immunotherapy.php
"International Journal of Inflammation, Cancer and Integrative Therapy Hybrid Open Access Journal Official Journal of Associazione Ricerca Terapie Oncologiche Integrate",https://www.omicsonline.org/interdisciplinary-journal-of-microinflammation-open-access.php
Journal of AIDS & Clinical Research Open Access Journal,https://www.omicsonline.org/aids-clinical-research.php
Journal of Allergy & Therapy Open Access Journal,https://www.omicsonline.org/allergy-therapy.php
Journal of Antimicrobial Agents Open Access Journal,https://www.omicsonline.org/antimicrobial-agents.php
Journal of Antivirals & Antiretrovirals Open Access Journal,https://www.omicsonline.org/antivirals-antiretrovirals.php
Journal of Autoimmune Disorders Open Access Journal,http://autoimmunediseases.imedpub.com/
Journal of Bacteriology & Parasitology Open Access Journal,https://www.omicsonline.org/bacteriology-parasitology.php
Journal of Cell Biology & Immunology ,https://www.omicsonline.org/journal-cell-biology-immunology.php
Journal of Cell Signaling Open Access Journal,https://www.omicsonline.org/cell-signaling.php
Journal of Clinical & Cellular Immunology Open Access Journal,https://www.omicsonline.org/clinical-cellular-immunology.php
Journal of Clinical Infectious Diseases & Practice Open Access Journal,https://www.omicsonline.org/clinical-infectious-diseases-practice.php
Journal of Cytokine Biology Open Access Journal,https://www.omicsonline.org/cytokine-biology.php
Journal of Forensic Pathology Open Access Journal,https://www.omicsonline.org/forensic-pathology.php
Journal of HIV & Retro Virus Open Access Journal,http://hiv.imedpub.com/
Journal of Immunobiology Open Access Journal,https://www.omicsonline.org/immunobiology.php
Journal of Immunological Techniques & Infectious Diseases Hybrid Open Access Journal,https://www.scitechnol.com/infectious-diseases-immunological-techniques.php
Journal of Infectious Disease and Pathology Open Access Journal,https://www.omicsonline.org/journal-infectious-disease-and-pathology.php
Journal of Infectious Diseases & Therapy Open Access Journal,https://www.omicsonline.org/infectious-diseases-and-therapy.php
Journal of Infectious Diseases and Diagnosis Open Access Journal,https://www.omicsonline.org/infectious-diseases-and-diagnosis.php
Journal of Infectious Diseases and Medicine Open Access Journal,https://www.omicsonline.org/infectious-diseases-and-medicine.php
Journal of Infectious Diseases and Treatment Open Access Journal,http://infectious-diseases-and-treatment.imedpub.com
Journal of Inflammatory Bowel Diseases & Disorders Open Access Journal,https://www.omicsonline.org/inflammatory-bowel-diseases-disorders.php
Journal of Medical Microbiology & Diagnosis Open Access Journal,https://www.omicsonline.org/medical-microbiology-diagnosis.php
Journal of Meningitis Open Access Journal,https://www.omicsonline.org/meningitis.php
Journal of Microbial & Biochemical Technology Open Access Journal,https://www.omicsonline.org/microbial-biochemical-technology.php
Journal of Microbial Pathogenesis ,https://www.omicsonline.org/journal-microbial-pathogenesis.php
Journal of Molecular Immunology Open Access Journal,https://www.omicsonline.org/molecular-immunology.php
Journal of Mucosal Immunology Research ,https://www.omicsonline.org/mucosal-immunology-research.php
Journal of Transmitted Diseases and Immunity ,http://www.imedpub.com/transmitted-diseases-and-immunity/
Journal of Tropical Diseases & Public Health Open Access Journal,https://www.omicsonline.org/tropical-diseases.php
Journal of Tuberculosis and Therapeutics ,https://www.omicsonline.org/tuberculosis-and-therapeutics.php
Journal of Vaccines & Clinical Trials Open Access Journal,https://www.scitechnol.com/vaccines-clinical-trials.php
Journal of Vaccines & Vaccination Open Access Journal,https://www.omicsonline.org/vaccines-vaccination.php
Lupus: Open Access Open Access Journal,https://www.omicsonline.org/lupus.php
Medical Microbiology Reports Open Access Journal,https://www.scitechnol.com/medical-microbiology-reports.php
Medical Mycology: Open Access Open Access Journal,http://mycology.imedpub.com/
Mycobacterial Diseases Open Access Journal,https://www.omicsonline.org/mycobacterial-diseases.php
Pediatric Infectious Diseases: Open Access Open Access Journal,http://pediatric-infectious-disease.imedpub.com
Reproductive Immunology: Open Access ,http://reproductive-immunology.imedpub.com/
Research & Reviews: Journal of Microbiology and Biotechnology Open Access Journal,http://www.rroij.com/microbiology-and-biotechnology.php
Research and Reviews on Pathogens Open Access Journal,https://www.omicsonline.org/research-and-reviews-on-pathogens.php
"Rheumatology: Current Research Open Access Journal, Official Journal of Taiwan Rheumatology Association",https://www.omicsonline.org/rheumatology-current-research.php
Vector Biology Journal Open Access Journal,https://www.scitechnol.com/vector-biology-journal.php
Virology & Antiviral Research Hybrid Open Access Journal,https://www.scitechnol.com/virology-antiviral-research.php
Virology & Mycology Open Access Journal,https://www.omicsonline.org/virology-mycology.php
Virology: Current Research Open Access Journal,https://www.omicsonline.org/virology-current-research.php
"Journal of Material Sciences & Engineering Open Access Journal, Official Journal of Hellenic Metallurgical Society",https://www.omicsonline.org/material-sciences-engineering.php
Journal of Materials Science and Nanomaterials ,https://www.omicsonline.org/journal-materials-science-nanomaterials.php
Journal of Nanomaterials & Molecular Nanotechnology Hybrid Open Access Journal,https://www.scitechnol.com/nanomaterials-molecular-nanotechnology.php
Journal of Nanomedicine & Biotherapeutic Discovery Open Access Journal,https://www.omicsonline.org/nanomedicine-biotherapeutic-discovery.php
Journal of Nanomedicine & Nanotechnology Open Access Journal,https://www.omicsonline.org/nanomedicine-nanotechnology.php
Journal of Nanosciences: Current Research Open Access Journal,https://www.omicsonline.org/nano-sciences-current-research.php
Journal of Polymer Science & Applications Open Access Journal,https://www.scitechnol.com/polymer-science-applications.php
"Journal of Powder Metallurgy & Mining Open Access Journal, Official Journal of Hellenic Metallurgical Society",https://www.omicsonline.org/powder-metallurgy-mining.php
Materials Science: An Indian Journal ,http://www.tsijournals.com/journals/materials-science-an-indian-journal.html
Nano Research & Applications Open Access Journal,http://nanotechnology.imedpub.com/
Nano Science & Nano Technology: An Indian Journal ,http://www.tsijournals.com/journals/nano-science-nano-technology-an-indian-journal.html
Polymer Sciences Open Access Journal,http://polymerscience.imedpub.com/
Research & Reviews: Journal of Material Sciences Open Access Journal,http://www.rroij.com/material-sciences.php
Journal of Applied & Computational Mathematics Open Access Journal,https://www.omicsonline.org/applied-computational-mathematics.php
Journal of Biometrics & Biostatistics Open Access Journal,https://www.omicsonline.org/biometrics-biostatistics.php
Journal of Generalized Lie Theory and Applications Open Access Journal,https://www.omicsonline.org/generalized-theory-applications.php
Journal of Physical Mathematics Open Access Journal,https://www.omicsonline.org/physical-mathematics.php
Research & Reviews: Journal of Statistics and Mathematical Sciences Open Access Journal,http://www.rroij.com/statistics-and-mathematical-sciences.php
Acta Rheumatologica Open Access Journal,http://www.actarheuma.com/
Advances in Cancer Prevention Open Access Journal,https://www.omicsonline.org/advances-cancer-prevention.php
"Alternative & Integrative Medicine  Open Access Journal, Official Journal of World Association of Integrated Medicine",https://www.omicsonline.org/alternative-integrative-medicine.php
American Journal of Ethnomedicine ,http://www.imedpub.com/ethnomedicine/
American Journal of Phytomedicine and Clinical Therapeutics ,http://www.imedpub.com/phytomedicine-and-clinical-therapeutics/
Analgesia & Resuscitation : Current Research Hybrid Open Access Journal,https://www.scitechnol.com/analgesia-resuscitation-current-research.php
Anatomy & Physiology: Current Research Open Access Journal,https://www.omicsonline.org/anatomy-physiology.php
Andrology & Gynecology: Current Research Hybrid Open Access Journal,https://www.scitechnol.com/andrology-gynecology-current-research.php
Andrology-Open Access Open Access Journal,https://www.omicsonline.org/andrology-open-access.php
Anesthesiology Communications ,https://www.omicsonline.org/anesthesiology-communications.php
Angiology: Open Access Open Access Journal,https://www.omicsonline.org/angiology.php
Annals of Infections and Antibiotics Open Access Journal,https://www.omicsonline.org/annals-infections-antibiotics.php
Archives in Cancer Research Open Access Journal,http://www.acanceresearch.com/
Archives of Digestive disorders ,http://www.alliedacademies.org/archives-of-digestive-disorders/
Archives of Medicine Open Access Journal,http://www.archivesofmedicine.com/
Archives of Surgical Oncology Open Access Journal,https://www.omicsonline.org/surgical-oncology.php
Archivos de Medicina Open Access Journal,http://www.archivosdemedicina.com/
Breast Cancer: Current Research Open Access Journal,https://www.omicsonline.org/breast-cancer.php
British Biomedical Bulletin Open Access Journal,http://www.imedpub.com/british-biomedical-bulletin/
Canadian Hearing Report Open Access Journal,http://www.andrewjohnpublishing.com/canadian-hearing-report/
Chemotherapy: Open Access Official Journal of Italo-Latin American Society of Ethnomedicine,https://www.omicsonline.org/chemotherapy-open-access.php
Chronic Obstructive Pulmonary Disease: Open access Open Access Journal,http://chronic-obstructive-pulmonary-disease.imedpub.com
Clinical and Medical Case Reports ,https://www.omicsonline.org/clinical-medical-case-reports.php
Clinical Gastroenterology Journal Open Access Journal,https://www.omicsonline.org/clinical-gastroenterology-journal.php
Clinical Pediatric Dermatology Open Access Journal,http://clinical-pediatrics-dermatology.imedpub.com/
Colorectal Cancer: Open Access Open Access Journal,http://colorectal-cancer.imedpub.com/
Cosmetology & Oro Facial Surgery Open Access Journal,https://www.omicsonline.org/cosmetology-orofacial-surgery.php
Critical Care Obstetrics & Gynecology Open Access Journal,http://obstetrics.imedpub.com/
Current Research: Integrative Medicine Open Access Journal,http://www.pulsus.com/journals/current-research-integrative-medicine.html
Dental Health: Current Research Hybrid Open Access Journal,https://www.scitechnol.com/dental-health-current-research.php
"Dentistry Open Access Journal, Official Journal of Alexandria Oral Implantology Association, London School of Facial Orthotropics",https://www.omicsonline.org/dentistry.php
Dermatology and Dermatologic Diseases Open Access Journal,https://www.omicsonline.org/pigmentary-disorders-open-access.php
Dermatology Case Reports Open Access Journal,https://www.omicsonline.org/dermatology-case-reports.php
Diagnostic Pathology: Open Access Open Access Journal,https://www.omicsonline.org/diagnostic-pathology.php
Emergency Medicine: Open Access Official Journal of World Federation of Pediatric Intensive and Critical Care societies,https://www.omicsonline.org/emergency-medicine.php
Endocrinology & Diabetes Research Hybrid Open Access Journal,https://www.scitechnol.com/endocrinology-and-diabetes-research.php
Endocrinology & Metabolic Syndrome Official Journal of PCOS Awareness Association,https://www.omicsonline.org/endocrinology-metabolic-syndrome.php
Endocrinology Research and Metabolism ,http://www.imedpub.com/endocrinology-research-and-metabolism/
Epidemiology: Open Access Open Access Journal,https://www.omicsonline.org/epidemiology-open-access.php
European Journal of Sports and Exercise Science ,http://www.scholarsresearchlibrary.com/journals/european-journal-of-sports-exercise-science/
Evidence based medicine and practice Open Access Journal,https://www.omicsonline.org/evidence-based-medicine-practice.php
Family Medicine & Medical Science Research Open Access Journal,https://www.omicsonline.org/family-medicine-medical-science-research.php
General Medicine: Open Access Open Access Journal,https://www.omicsonline.org/general-medicine.php
"Gynecology & Obstetrics Open Access Journal, Official Journal of PCOS Awareness Association",https://www.omicsonline.org/gynecology-obstetrics.php
Gynecology & Obstetrics Case report Open Access Journal,http://gynecology-obstetrics.imedpub.com/
Hair Therapy & Transplantation Open Access Journal,https://www.omicsonline.org/hair-therapy-transplantation.php
Head and Neck Cancer Research Open Access Journal,http://head-and-neck-cancer-research.imedpub.com
Hepatology and Pancreatic Science ,https://www.omicsonline.org/hepatology-pancreatic-science.php
Herbal Medicine: Open Access Open Access Journal,http://herbal-medicine.imedpub.com/
Imaging in Medicine Open Access Journal,http://www.openaccessjournals.com/journals/imaging-in-medicine.html
Insights in Blood Pressure Open Access Journal,http://blood-pressure.imedpub.com
Insights in Chest Diseases Open Access Journal,http://insightsinchestdiseases.imedpub.com/
Insights in Gynecologic Oncology Open Access Journal,https://www.omicsonline.org/gynecologic-oncology.php
Internal Medicine: Open Access Open Access Journal,https://www.omicsonline.org/internal-medicine.php
International Journal of Digestive Diseases Open Access Journal,http://digestive-diseases.imedpub.com/
International Journal of Physical Medicine & Rehabilitation Open Access Journal,https://www.omicsonline.org/physical-medicine-rehabilitation.php
JOP. Journal of the Pancreas Open Access Journal,http://pancreas.imedpub.com/
Journal of Adenocarcinoma Open Access Journal,http://adenocarcinoma.imedpub.com/
Journal of Aesthetic & Reconstructive Surgery Open Access Journal,http://aesthetic-reconstructive-surgery.imedpub.com/
Journal of Aging and geriatric psychiatry ,http://www.alliedacademies.org/aging-and-geriatric-psychiatry/
Journal of Arthritis Open Access Journal,https://www.omicsonline.org/arthritis.php
Journal of Athletic Enhancement Hybrid Open Access Journal,https://www.scitechnol.com/athletic-enhancement.php
Journal of Autacoids and Hormones ,https://www.omicsonline.org/autacoids-and-hormones.php
Journal of Blood & Lymph Open Access Journal,https://www.omicsonline.org/blood-lymph.php
"Journal of Blood Disorders & Transfusion Open Access Journal, Official Journal of Thalassaemia International Federation",https://www.omicsonline.org/blood-disorders-transfusion.php
Journal of Blood Research & Hematologic Diseases Open Access Journal,https://www.scitechnol.com/journal-of-blood-research-and-hematologic-diseases.php
Journal of Bone Reports & Recommendations Open Access Journal,http://bone.imedpub.com/
Journal of Bone Research Open Access Journal,https://www.omicsonline.org/bone-marrow-research.php
Journal of Cancer Clinical Trials Open Access Journal,https://www.omicsonline.org/cancer-clinical-trials.php
Journal of Cancer Diagnosis Open Access Journal,https://www.omicsonline.org/cancer-diagnosis.php
Journal of Cancer Research and Immuno-Oncology Open Access Journal,https://www.omicsonline.org/cancer-research-immuno-oncology.php
Journal of Cancer Science & Therapy Official Journal of European Biotechnology Thematic Network Association,https://www.omicsonline.org/cancer-science-therapy.php
Journal of Cancer Science and Research Open Access Journal,https://www.omicsonline.org/journal-cancer-science-and-research.php
Journal of Carcinogenesis & Mutagenesis Open Access Journal,https://www.omicsonline.org/carcinogenesis-mutagenesis.php
Journal of Cardiac and Pulmonary Rehabilitation ,https://www.omicsonline.org/cardiac-pulmonary-rehabilitation.php
Journal of Cell Science and Apoptosis ,https://www.omicsonline.org/cell-science-apoptosis.php
Journal of Childhood & Developmental Disorders Open Access Journal,http://childhood-developmental-disorders.imedpub.com/
Journal of Childhood Obesity Open Access Journal,http://childhood-obesity.imedpub.com
Journal of Clinical and Medical Case Studies ,http://www.rroij.com/clinical-and-medical-case-studies.php
Journal of Clinical and Molecular Endocrinology Open Access Journal,http://clinical-and-molecular-endocrinology.imedpub.com
Journal of Clinical Anesthesiology: Open Access ,https://www.omicsonline.org/journal-clinical-anesthesiology.php
Journal of Clinical Immunology and Allergy Open Access Journal,http://asthma-and-bronchitis.imedpub.com/
Journal of Clinical Microbiology and Antimicrobials ,https://www.omicsonline.org/journal-clinical-microbiology-antimicrobials.php
Journal of Clinical Respiratory Diseases and Care Open Access Journal,https://www.omicsonline.org/clinical-respiratory-diseases-and-care.php
"Journal of Communication Disorders, Deaf Studies & Hearing Aids Open Access Journal",https://www.omicsonline.org/deaf-studies-hearing-aids.php
Journal of Congenital Disorders ,https://www.omicsonline.org/congenital-disorders.php
Journal of Contraceptive Studies Open Access Journal,http://contraceptivestudies.imedpub.com/
Journal of Dental Pathology and Medicine ,https://www.omicsonline.org/journal-dental-pathology-medicine.php
Journal of Diabetes & Metabolism Official Journal of European Biotechnology Thematic Network Association,https://www.omicsonline.org/diabetes-metabolism.php
Journal of Diabetic Complications & Medicine Open Access Journal,https://www.omicsonline.org/diabetic-complications-medicine.php
Journal of Ecology and Toxicology Open Access Journal,https://www.omicsonline.org/ecology-toxicology.php
Journal of Forensic Medicine Open Access Journal,https://www.omicsonline.org/journal-forensic-medicine.php
Journal of Gastrointestinal & Digestive System Open Access Journal,https://www.omicsonline.org/gastrointestinal-digestive-system.php
Journal of Gastrointestinal Cancer and Stromal Tumors Open Access Journal,https://www.omicsonline.org/gastrointestinal-cancer-stromal-tumors.php
Journal of General Practice Open Access Journal,https://www.omicsonline.org/general-practice.php
Journal of Genital System & Disorders Hybrid Open Access Journal,https://www.scitechnol.com/genital-system-disorders.php
Journal of Gerontology & Geriatric Research Open Access Journal,https://www.omicsonline.org/gerontology-geriatric-research.php
Journal of Heavy Metal Toxicity and Diseases Open Access Journal,http://heavy-metal-toxicity-diseases.imedpub.com/
Journal of Hematology & Thromboembolic Diseases Open Access Journal,https://www.omicsonline.org/haematology-thromboembolic-diseases.php
Journal of Hepatitis Open Access Journal,http://hepatitis.imedpub.com
Journal of Hepatology and Gastrointestinal disorders Open Access Journal,https://www.omicsonline.org/hepatology-gastrointestinal-disorders.php
Journal of HPV and Cervical Cancer Open Access Journal,https://www.omicsonline.org/cervical-cancer.php
"Journal of Hypertension: Open Access Open Access Journal, Official Journal of Slovak League against Hypertension",https://www.omicsonline.org/hypertension-open-access.php
Journal of Imaging and Interventional Radiology Open Access Journal,http://interventional-radiology.imedpub.com/
